time,symbol,side,factor,value,ret
1775185184.0193775,DUSDT,SHORT,volume_zscore,-0.9844863953232893,-2.0179089418590475
1775185184.0193775,DUSDT,SHORT,oi_change_pct,0.09957616533655013,-2.0179089418590475
1775185184.0193775,DUSDT,SHORT,ret_1m,0.5507566435536996,-2.0179089418590475
1775185184.0193775,DUSDT,SHORT,ret_5m,0.6243923081931759,-2.0179089418590475
1775185184.0193775,DUSDT,SHORT,funding_rate,-0.2815765103446973,-2.0179089418590475
1775185184.0193775,DUSDT,SHORT,ret_24h,1.9360314476865341,-2.0179089418590475
1775185184.0193775,DUSDT,SHORT,raw_total,0.4656351233767438,-2.0179089418590475
1775185184.0193775,DUSDT,SHORT,normalized_total,1.209154859251626,-2.0179089418590475
1775185184.0193775,DUSDT,SHORT,hf_ofi,0.0078,-2.0179089418590475
1775185184.0193775,DUSDT,SHORT,hf_lob_pc1,-0.0,-2.0179089418590475
1775185184.0193775,DUSDT,SHORT,hf_lob_z1,-0.0,-2.0179089418590475
1775185184.0193775,DUSDT,SHORT,hf_lob_z2,-0.0,-2.0179089418590475
1775185184.0193775,DUSDT,SHORT,hf_fast_boost,-0.2102,-2.0179089418590475
1775185184.0193775,DUSDT,SHORT,hf_timing_score,0.4822,-2.0179089418590475
1775185184.0193775,DUSDT,SHORT,hf_microprice,0.0586,-2.0179089418590475
1775185205.8790135,TAGUSDT,LONG,volume_zscore,1.0237178162057092,22.622834924001452
1775185205.8790135,TAGUSDT,LONG,oi_change_pct,-0.5052489706182409,22.622834924001452
1775185205.8790135,TAGUSDT,LONG,ret_1m,0.2304088822800182,22.622834924001452
1775185205.8790135,TAGUSDT,LONG,ret_5m,0.992675061787973,22.622834924001452
1775185205.8790135,TAGUSDT,LONG,funding_rate,1.143636791275717,22.622834924001452
1775185205.8790135,TAGUSDT,LONG,ret_24h,1.1201138284799659,22.622834924001452
1775185205.8790135,TAGUSDT,LONG,raw_total,0.7080565280411346,22.622834924001452
1775185205.8790135,TAGUSDT,LONG,normalized_total,1.896186586227269,22.622834924001452
1775185205.8790135,TAGUSDT,LONG,hf_ofi,-0.0099,22.622834924001452
1775185205.8790135,TAGUSDT,LONG,hf_lob_pc1,0.0,22.622834924001452
1775185205.8790135,TAGUSDT,LONG,hf_lob_z1,0.0,22.622834924001452
1775185205.8790135,TAGUSDT,LONG,hf_lob_z2,0.0,22.622834924001452
1775185205.8790135,TAGUSDT,LONG,hf_fast_boost,0.131,22.622834924001452
1775185205.8790135,TAGUSDT,LONG,hf_timing_score,-0.0267,22.622834924001452
1775185205.8790135,TAGUSDT,LONG,hf_microprice,0.7697,22.622834924001452
1775185228.9587946,ONUSDT,LONG,volume_zscore,1.9418129346733395,-2.008981328291225
1775185228.9587946,ONUSDT,LONG,oi_change_pct,0.27853966761828075,-2.008981328291225
1775185228.9587946,ONUSDT,LONG,ret_1m,-0.22741685372754727,-2.008981328291225
1775185228.9587946,ONUSDT,LONG,ret_5m,1.9351593772066427,-2.008981328291225
1775185228.9587946,ONUSDT,LONG,funding_rate,0.27839980769327455,-2.008981328291225
1775185228.9587946,ONUSDT,LONG,ret_24h,0.449822184389239,-2.008981328291225
1775185228.9587946,ONUSDT,LONG,raw_total,0.9653028225301252,-2.008981328291225
1775185228.9587946,ONUSDT,LONG,normalized_total,2.6174505945268653,-2.008981328291225
1775185228.9587946,ONUSDT,LONG,hf_ofi,-0.0251,-2.008981328291225
1775185228.9587946,ONUSDT,LONG,hf_lob_pc1,0.0,-2.008981328291225
1775185228.9587946,ONUSDT,LONG,hf_lob_z1,0.0,-2.008981328291225
1775185228.9587946,ONUSDT,LONG,hf_lob_z2,0.0,-2.008981328291225
1775185228.9587946,ONUSDT,LONG,hf_fast_boost,-0.0227,-2.008981328291225
1775185228.9587946,ONUSDT,LONG,hf_timing_score,-1.0714,-2.008981328291225
1775185228.9587946,ONUSDT,LONG,hf_microprice,-1.1297,-2.008981328291225
1775185230.3316727,ONUSDT,LONG,volume_zscore,1.9418129346733395,-2.0173252640323187
1775185230.3316727,ONUSDT,LONG,oi_change_pct,0.27853966761828075,-2.0173252640323187
1775185230.3316727,ONUSDT,LONG,ret_1m,-0.22741685372754727,-2.0173252640323187
1775185230.3316727,ONUSDT,LONG,ret_5m,1.9351593772066427,-2.0173252640323187
1775185230.3316727,ONUSDT,LONG,funding_rate,0.27839980769327455,-2.0173252640323187
1775185230.3316727,ONUSDT,LONG,ret_24h,0.449822184389239,-2.0173252640323187
1775185230.3316727,ONUSDT,LONG,raw_total,0.9653028225301252,-2.0173252640323187
1775185230.3316727,ONUSDT,LONG,normalized_total,2.6174505945268653,-2.0173252640323187
1775185230.3316727,ONUSDT,LONG,hf_ofi,0.0561,-2.0173252640323187
1775185230.3316727,ONUSDT,LONG,hf_lob_pc1,0.0,-2.0173252640323187
1775185230.3316727,ONUSDT,LONG,hf_lob_z1,0.0,-2.0173252640323187
1775185230.3316727,ONUSDT,LONG,hf_lob_z2,0.0,-2.0173252640323187
1775185230.3316727,ONUSDT,LONG,hf_fast_boost,-0.0227,-2.0173252640323187
1775185230.3316727,ONUSDT,LONG,hf_timing_score,0.0385,-2.0173252640323187
1775185230.3316727,ONUSDT,LONG,hf_microprice,-0.7481,-2.0173252640323187
1775185238.2119367,ONUSDT,LONG,volume_zscore,1.9418129346733395,-2.141837220371247
1775185238.2119367,ONUSDT,LONG,oi_change_pct,0.27853966761828075,-2.141837220371247
1775185238.2119367,ONUSDT,LONG,ret_1m,-0.22741685372754727,-2.141837220371247
1775185238.2119367,ONUSDT,LONG,ret_5m,1.9351593772066427,-2.141837220371247
1775185238.2119367,ONUSDT,LONG,funding_rate,0.27839980769327455,-2.141837220371247
1775185238.2119367,ONUSDT,LONG,ret_24h,0.449822184389239,-2.141837220371247
1775185238.2119367,ONUSDT,LONG,raw_total,0.9653028225301252,-2.141837220371247
1775185238.2119367,ONUSDT,LONG,normalized_total,2.6174505945268653,-2.141837220371247
1775185238.2119367,ONUSDT,LONG,hf_ofi,0.0578,-2.141837220371247
1775185238.2119367,ONUSDT,LONG,hf_lob_pc1,0.0,-2.141837220371247
1775185238.2119367,ONUSDT,LONG,hf_lob_z1,0.0,-2.141837220371247
1775185238.2119367,ONUSDT,LONG,hf_lob_z2,0.0,-2.141837220371247
1775185238.2119367,ONUSDT,LONG,hf_fast_boost,-0.0227,-2.141837220371247
1775185238.2119367,ONUSDT,LONG,hf_timing_score,-0.4279,-2.141837220371247
1775185238.2119367,ONUSDT,LONG,hf_microprice,-1.5962,-2.141837220371247
1775185260.9990926,CHRUSDT,LONG,volume_zscore,0.370166579582015,-4.9261083743842065
1775185260.9990926,CHRUSDT,LONG,oi_change_pct,3.0,-4.9261083743842065
1775185260.9990926,CHRUSDT,LONG,ret_1m,3.0,-4.9261083743842065
1775185260.9990926,CHRUSDT,LONG,ret_5m,2.917906462486713,-4.9261083743842065
1775185260.9990926,CHRUSDT,LONG,funding_rate,0.16980131016693828,-4.9261083743842065
1775185260.9990926,CHRUSDT,LONG,ret_24h,1.6235964814219233,-4.9261083743842065
1775185260.9990926,CHRUSDT,LONG,raw_total,1.8231529172654757,-4.9261083743842065
1775185260.9990926,CHRUSDT,LONG,normalized_total,4.640655291378303,-4.9261083743842065
1775185260.9990926,CHRUSDT,LONG,hf_ofi,-0.0612,-4.9261083743842065
1775185260.9990926,CHRUSDT,LONG,hf_lob_pc1,0.0,-4.9261083743842065
1775185260.9990926,CHRUSDT,LONG,hf_lob_z1,0.0,-4.9261083743842065
1775185260.9990926,CHRUSDT,LONG,hf_lob_z2,0.0,-4.9261083743842065
1775185260.9990926,CHRUSDT,LONG,hf_fast_boost,0.1144,-4.9261083743842065
1775185260.9990926,CHRUSDT,LONG,hf_timing_score,-0.2528,-4.9261083743842065
1775185260.9990926,CHRUSDT,LONG,hf_microprice,0.3585,-4.9261083743842065
1775185298.8189847,XPLUSDT,LONG,volume_zscore,-0.9175880890956166,-2.57731958762894
