ts,secs_from_entry,event_type,price,lc_state,aligned_score,velocity,cur_ret,peak_pnl,drawdown,exit_reason,extra
1775194835.619,0.0,entry,0.006625,,0.0,0.0,0.0,0.0,0.0,,score=+1.145 vol=0.2000%
1775194878.83,43.2,rank_snapshot,0.006629,BUILD,0.1457,-0.32267,0.0,0.0,0.0,,unified=-0.146 held=41s
1775194938.023,102.4,rank_snapshot,0.006616,EXPANSION,0.7798,-0.40052,0.0,0.0,0.0,,unified=-0.780 held=102s
1775194938.023,102.4,lifecycle_change,0.006616,EXPANSION,0.7798,-0.40052,0.00136,0.0,0.0,,BUILD->EXPANSION
1775194997.691,162.1,rank_snapshot,0.006623,EXPANSION,0.1661,-0.14697,0.0,0.0,0.0,,unified=-0.166 held=162s
1775195058.397,222.8,rank_snapshot,0.006629,REVERSAL,-1.1495,0.21868,0.0,0.0,0.0,,unified=+1.150 held=223s
1775195058.397,222.8,lifecycle_change,0.006629,REVERSAL,-1.1495,0.21868,-0.0006,0.0,0.0,,EXPANSION->REVERSAL
1775195058.891,223.3,exit,0.006629,REVERSAL,-1.1495,0.21868,-0.0006,0.0,0.00272,lifecycle_reversal,
