ts,secs_from_entry,event_type,price,lc_state,aligned_score,velocity,cur_ret,peak_pnl,drawdown,exit_reason,extra
1775193798.586,0.0,entry,0.08164,,0.0,0.0,0.0,0.0,0.0,,score=+2.714 vol=0.2000%
1775193800.413,1.8,trailing_armed,0.08197,BUILD,0.0,0.0,0.00404,0.0,0.0,,
1775193848.298,49.7,rank_snapshot,0.08187,BUILD,0.1927,-0.63036,0.0,0.0,0.0,,unified=+0.193 held=50s
1775193908.514,109.9,rank_snapshot,0.08193,EXPANSION,2.2314,0.0369,0.0,0.0,0.0,,unified=+2.231 held=110s
1775193908.514,109.9,lifecycle_change,0.08193,EXPANSION,2.2314,0.0369,0.00355,0.0,0.0,,BUILD->EXPANSION
1775193918.645,120.1,trailing_hit,0.08274,EXPANSION,0.0,0.0,0.01347,0.0,0.00265,,thresh=0.1000%
1775193919.097,120.5,exit,0.08274,EXPANSION,2.2314,0.0369,0.01347,0.0,0.00265,trailing_expansion,
