ts,secs_from_entry,event_type,price,lc_state,aligned_score,velocity,cur_ret,peak_pnl,drawdown,exit_reason,extra
1775197725.5,0.0,entry,0.0414,,0.0,0.0,0.0,0.0,0.0,,score=+2.830 vol=0.2000%
1775197745.625,20.1,trailing_armed,0.0416,BUILD,0.0,0.0,0.00483,0.0,0.0,,
1775197784.719,59.2,rank_snapshot,0.0415,BUILD,2.6199,-0.05249,0.0,0.0,0.0,,unified=+2.620 held=59s
1775197839.307,113.8,rank_snapshot,0.0409,BUILD,2.6199,-0.05249,0.0,0.0,0.0,,"{'confidence': 1.0, 'sl_dist': 0.01, 'exit_trigger': 'dynamic_vol_stop'}"
1775197839.783,114.3,exit,0.0409,BUILD,2.6199,-0.05249,-0.01208,0.0,0.02619,dynamic_vol_stop,
