exit_reason,trades,total_pnl,avg_pnl,median_pnl,avg_ret_lev_pct,median_ret_lev_pct,avg_hold_seconds,median_hold_seconds,avg_fee,total_fee,win_rate,pnl_per_trade
trailing_expansion,77,19.7438,0.25641298701298704,0.129,13.573028571428571,7.0197,165.274025974026,125.3,0.015516883116883118,1.1948,1.0,0.25641298701298704
trailing_decay,11,0.9654,0.08776363636363636,0.0656,5.838554545454545,4.1457,348.8545454545455,339.3,0.014390909090909091,0.1583,1.0,0.08776363636363636
strategy_stop,28,-0.06209999999999999,-0.0022178571428571425,-0.014700000000000001,0.6438214285714287,-0.07205,105.425,85.75,0.014560714285714286,0.4077,0.39285714285714285,-0.0022178571428571425
lifecycle_reversal,48,-1.8167,-0.03784791666666667,-0.03015,-1.367725,-1.12275,301.43333333333334,235.65,0.013566666666666666,0.6512,0.14583333333333334,-0.03784791666666667
vol_stop,48,-6.2857,-0.13095208333333333,-0.0751,-5.929120833333333,-2.7420999999999998,64.50208333333333,24.85,0.015339583333333332,0.7363,0.0,-0.13095208333333333
dynamic_vol_stop,88,-18.0145,-0.20471022727272728,-0.2126,-9.326801136363637,-10.047,85.45568181818182,55.25,0.015985227272727272,1.4067,0.0,-0.20471022727272728
