entry_score_bucket,trades,total_pnl,avg_pnl,median_pnl,avg_ret_lev_pct,median_ret_lev_pct,avg_hold_seconds,median_hold_seconds,avg_fee,total_fee,win_rate,pnl_per_trade
<=0.5,0,0.0,,,,,,,,0.0,0.0,
1.5~2.0,75,-0.26949999999999974,-0.00359333333333333,-0.0518,0.6382253333333333,-2.0443,156.34933333333333,120.8,0.014826666666666669,1.112,0.4,-0.00359333333333333
0.5~1.0,28,-0.867,-0.030964285714285715,-0.0118,-1.4282964285714286,-0.05725,223.46785714285716,166.55,0.011217857142857142,0.3141,0.35714285714285715,-0.030964285714285715
1.0~1.5,67,-1.8587,-0.02774179104477612,-0.0297,-0.9116835820895522,-1.1531,175.84328358208955,136.8,0.012629850746268656,0.8462,0.31343283582089554,-0.02774179104477612
>2.0,130,-2.4746,-0.019035384615384617,-0.133,0.07365692307692302,-5.924799999999999,114.12,110.75,0.01755923076923077,2.2827,0.34615384615384615,-0.019035384615384617
