hold_bucket,trades,total_pnl,avg_pnl,median_pnl,avg_ret_lev_pct,median_ret_lev_pct,avg_hold_seconds,median_hold_seconds,avg_fee,total_fee,win_rate,pnl_per_trade
120-180s,101,12.2963,0.12174554455445545,0.0646,6.704714851485148,4.1648,136.11881188118812,126.6,0.014808910891089109,1.4957,0.6138613861386139,0.12174554455445545
300-600s,29,1.2279,0.042341379310344825,0.0103,2.6297655172413794,1.5704,374.3379310344827,341.5,0.01423448275862069,0.4128,0.5517241379310345,0.042341379310344825
180-300s,38,0.4584999999999999,0.012065789473684209,0.0010999999999999998,1.6205605263157894,0.8913,230.75789473684208,224.35,0.014539473684210526,0.5525,0.5,0.012065789473684209
>600s,6,-0.0758,-0.012633333333333335,-0.00785,-0.40546666666666686,0.2928,954.8000000000001,921.55,0.013633333333333332,0.0818,0.3333333333333333,-0.012633333333333335
90-120s,20,-2.4299999999999997,-0.12149999999999998,-0.14995,-5.69064,-6.5798000000000005,108.30499999999999,107.55000000000001,0.01558,0.3116,0.15,-0.12149999999999998
60-90s,19,-3.2225,-0.16960526315789473,-0.1711,-7.877526315789474,-9.0772,71.41052631578947,69.4,0.015410526315789473,0.2928,0.05263157894736842,-0.16960526315789473
30-60s,27,-4.4317,-0.16413703703703705,-0.1893,-7.1876,-10.0034,44.58518518518518,44.6,0.015862962962962964,0.4283,0.0,-0.16413703703703705
<=30s,60,-9.2925,-0.154875,-0.15610000000000002,-6.644495,-7.0205,12.871666666666666,12.45,0.016325,0.9795,0.05,-0.154875
